"karyotype","arm","omic","type","OR","p","fisher_padj","log2_OR"
"1:0","18q","RNA","Compensated",10.2933566724096,0.00336542220913451,0.0100962666274035,3.32192809488736
"1:0","18q","RNA","Dosage sensitive",0.0971500387896214,0.00336542220913451,0.0100962666274035,-3.32192809488736
"2:0","21q","RNA","Compensated",0,0.0120381613889032,0.0346097139930967,-3.32192809488736
"2:0","4q","RNA","Compensated",0.0843676340081295,0.000322080425378237,0.00246928326123315,-3.32192809488736
"2:0","6q","RNA","Compensated",12.0539529737767,1.36814632478202e-06,1.57336827349933e-05,3.32192809488736
"2:0","9p","RNA","Compensated",0,0.0050983441766286,0.0167517022946368,-3.32192809488736
"2:0","3q","RNA","Compensated",0.148496238774855,0.000717140629256947,0.00412355861822744,-2.75150170507064
"2:0","10q","Protein","Compensated",10.5979447121402,2.4209162559515e-24,5.56810738868845e-23,3.32192809488736
"2:0","14q","Protein","Compensated",0.0998682265312465,0.00184921050915711,0.00890718504823114,-3.32192809488736
"2:0","17p","Protein","Compensated",7.36426778159767,3.02814413678029e-05,0.000348236575729734,2.88054208732865
"2:0","5q","Protein","Compensated",0.183247369908135,0.000413631143014396,0.0031711720964437,-2.44813560292784
"2:0","17q","Protein","Compensated",0.257191880694781,0.00193634457570242,0.00890718504823114,-1.95908299602503
"2:0","21q","RNA","Dosage sensitive",Inf,0.0120381613889032,0.0346097139930967,3.32192809488736
"2:0","4q","RNA","Dosage sensitive",11.8528866164916,0.000322080425378237,0.00246928326123315,3.32192809488736
"2:0","6q","RNA","Dosage sensitive",0.0829603369264416,1.36814632478202e-06,1.57336827349933e-05,-3.32192809488736
"2:0","9p","RNA","Dosage sensitive",Inf,0.0050983441766286,0.0167517022946368,3.32192809488736
"2:0","3q","RNA","Dosage sensitive",6.73417729802683,0.000717140629256946,0.00412355861822744,2.75150170507064
"2:0","10q","Protein","Dosage sensitive",0.0943579181777079,2.4209162559515e-24,5.56810738868845e-23,-3.32192809488736
"2:0","14q","Protein","Dosage sensitive",10.0131947340342,0.00184921050915711,0.00890718504823113,3.32192809488736
"2:0","17p","Protein","Dosage sensitive",0.135790825328061,3.02814413678029e-05,0.000348236575729734,-2.88054208732865
"2:0","5q","Protein","Dosage sensitive",5.45710424384978,0.000413631143014396,0.0031711720964437,2.44813560292783
"2:0","17q","Protein","Dosage sensitive",3.8881476246396,0.00193634457570242,0.00890718504823113,1.95908299602504
"2:1","4p","RNA","Compensated",9.93906271025516,0.000274696705406991,0.00519595683872205,3.31310980681527
"2:1","16p","RNA","Compensated",0.17775186570142,0.00256730432455245,0.0149759418932226,-2.49206339229127
"2:1","12q","RNA","Compensated",0.208286194216233,0.00103815475843239,0.0121118055150445,-2.26336087814853
"2:1","11q","RNA","Compensated",0.232618965145414,0.00301550196345679,0.0150775098172839,-2.10395937208373
"2:1","9q","RNA","Compensated",0.252769299133517,0.00890545272781519,0.0346323161637257,-1.98410684766003
"2:1","8p","Protein","Compensated",5.02034284074244,0.0031103311557139,0.0181435984083311,2.32778588962423
"2:1","21q","Protein","Compensated",0.321853956729986,0.000437808760606479,0.00383082665530669,-1.6355218900769
"2:1","4q","Protein","Compensated",0.388710258420841,4.9152259325983e-05,0.000573443025469802,-1.36323291266026
"2:1","8q","Protein","Compensated",2.2155219269017,0.00537326390866555,0.0268663195433278,1.14764660516997
"2:1","3q","Protein","Compensated",2.1481376669963,2.04597633019823e-05,0.00035804585778469,1.10308645381147
"2:1","4p","RNA","Dosage sensitive",0.100613109017634,0.00027469670540699,0.00519595683872205,-3.31310980681527
"2:1","16p","RNA","Dosage sensitive",5.62581999380951,0.00256730432455245,0.0149759418932226,2.49206339229126
"2:1","12q","RNA","Dosage sensitive",4.80108633105967,0.00103815475843239,0.0121118055150445,2.26336087814853
"2:1","11q","RNA","Dosage sensitive",4.29887562854079,0.00301550196345679,0.0150775098172839,2.10395937208373
"2:1","9q","RNA","Dosage sensitive",3.95617665368367,0.00890545272781518,0.0346323161637257,1.98410684766003
"2:1","8p","Protein","Dosage sensitive",0.199189583604636,0.0031103311557139,0.0181435984083311,-2.32778588962423
"2:1","21q","Protein","Dosage sensitive",3.10699924325906,0.000437808760606478,0.00383082665530668,1.6355218900769
"2:1","4q","Protein","Dosage sensitive",2.57261026262224,4.9152259325983e-05,0.000573443025469802,1.36323291266026
"2:1","8q","Protein","Dosage sensitive",0.45136091313637,0.00537326390866555,0.0268663195433278,-1.14764660516997
"2:1","3q","Protein","Dosage sensitive",0.465519512722051,2.04597633019822e-05,0.000358045857784689,-1.10308645381147
"2:2","9p","RNA","Compensated",5.4801868612126,0.000175262047799848,0.00105157228679909,2.4542250864611
"2:2","16p","RNA","Compensated",0.295718209119322,0.00180908797916631,0.00814089590624839,-1.75770501342668
"2:2","17q","RNA","Compensated",0.311826794018521,3.97465138424588e-07,7.15437249164259e-06,-1.68118319656033
"2:2","2q","RNA","Compensated",2.24364811863701,1.89975198966755e-05,0.000170977679070079,1.16584642937612
"2:2","2q","Protein","Compensated",2.19606425725644,0.000246261174588054,0.00443270114258497,1.13492026849108
"2:2","9p","RNA","Dosage sensitive",0.182475529635267,0.000175262047799848,0.00105157228679909,-2.4542250864611
"2:2","16p","RNA","Dosage sensitive",3.38159764655041,0.00180908797916631,0.00814089590624838,1.75770501342669
"2:2","17q","RNA","Dosage sensitive",3.20690851197541,3.97465138424588e-07,7.15437249164258e-06,1.68118319656033
"2:2","2q","RNA","Dosage sensitive",0.445702689157643,1.89975198966755e-05,0.000170977679070079,-1.16584642937612
"2:2","2q","Protein","Dosage sensitive",0.455360081880895,0.000246261174588054,0.00443270114258497,-1.13492026849108
